model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,mushroom,0,0.9795463910029568,0.9655734625325244,0.9790897908979088,0.9651210504718916,14,24.0,1.7142857142857142,0.6850139074419527,0.9741847078791964,0.2296050960392364,1.234387856,1.206418249,0.189140427,3.214471344549309,3.137761377613776,309.0,27.0,94.0,10.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.967406321198313,0.9669233296176928,0.966789667896679,0.9664888524141704,14,24.0,1.7142857142857142,0.6994823357745571,0.9751449465364844,0.2433026554897708,1.089971711,1.14841435,0.182365694,3.406237176856791,3.3616236162361623,303.0,33.0,95.0,9.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.969579797218898,0.9666818735989302,0.9692118226600984,0.9662199124726476,14,24.0,1.7142857142857142,0.6856552794317582,0.9747669724654002,0.2290559549859331,1.241159934,1.206989418,0.186963707,3.2067833698030634,3.206896551724138,311.0,25.0,98.0,6.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.9732338665095286,0.9662759683650862,0.9729064039408868,0.9658096280087528,13,22.0,1.6923076923076923,0.6728027260516787,0.9742781790906478,0.2150626998821747,1.220725835,1.131577991,0.169639208,2.7958150984682715,2.8583743842364533,303.0,33.0,91.0,13.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.9648553007901496,0.9672070980626416,0.964329643296433,0.9667624128026262,11,18.0,1.6363636363636365,0.6915085100686099,0.9705617863447524,0.2400616754330337,1.075506701,0.991721764,0.163317706,2.64067842976337,2.5805658056580567,299.0,37.0,94.0,10.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.9610544217687076,0.96762882248381,0.9605911330049262,0.9671772428884028,14,24.0,1.7142857142857142,0.6867055140274437,0.9755372594419428,0.2285479837449202,1.217671408,1.1994481110000002,0.1792442769999999,3.199671772428884,3.270935960591133,292.0,44.0,86.0,18.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.9684182461583208,0.9668110061693224,0.968019680196802,0.9663520722199426,14,24.0,1.7142857142857142,0.6856894132228905,0.97476327229668,0.2290579752623249,1.20388437,1.173746705,0.179983553,3.206811653672548,3.206642066420664,302.0,34.0,92.0,12.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.9596088435374148,0.967790483598963,0.95935960591133,0.9673140043763676,14,24.0,1.7142857142857142,0.685713881730239,0.9749468360532564,0.2285968271334792,1.222973218,1.1965564439999998,0.177880942,3.200355579868709,3.2647783251231526,307.0,29.0,99.0,5.0,C2,C2,C2
plain,no_discretization,mushroom,0,0.9634593070936937,0.9673616534355118,0.9630541871921182,0.9669037199124726,13,22.0,1.6923076923076923,0.6741969570180539,0.9747963437208422,0.2155676653761993,1.225551173,1.1368730699999998,0.169608867,2.802379649890591,2.7992610837438425,298.0,38.0,206.0,26.0,C2,C2,C2
