dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure,variant,model_type,M-of-N count (std),BAcc (test) (std),BAcc (train) (std),Acc (test) (std),Acc (train) (std),rules (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),rules_per_example (train)  (std),rules_per_example (test)  (std),voting_conflicts (train)  (std),voting_conflicts (test)  (std),negative_voting_conflicts (train)  (std),negative_voting_conflicts (test)  (std)
anneal,0.5555555555555556,0.9690196078431372,0.9830796371058544,0.9925925925925926,0.996837353698287,18.33333333333333,33.666666666666664,1.833701151025712,0.6966203060813991,0.998459290181455,0.0984132098683466,1689677556.080804,0.0408782174444444,0.0061560418888888,1.8173876874708488,1.8012068248023303,3.4444444444444446,0.8888888888888888,3.4444444444444446,0.5555555555555556,C2,C2,C2,no_discretization,at_least_M-of-N,0.7264831572567789,0.0834853860779317,0.0151714668617782,0.011111111111111,0.0059067542070096,1.6583123951777,3.8078865529319534,0.0714446425182285,0.0047903576636596,0.0034009446944133,0.0173602202176743,78.10874934357045,0.0168319180608821,0.0008425784710787,0.4281748879756771,0.4139201187024734,4.503085362035432,0.7817359599705717,4.503085362035432,0.7264831572567789
anneal,0.0,0.9693464052287584,0.9836207626469798,0.9938271604938272,0.9989000599689142,16.444444444444443,34.111111111111114,2.0677512817992696,0.7358867575751105,0.9995492983450394,0.1256957201417656,0.2202926273333333,0.3773300598888889,0.0074388807777777,2.080573369450666,2.0543903454015813,2.111111111111111,0.8888888888888888,2.111111111111111,0.4444444444444444,C2,C2,C2,no_discretization,complex,0.0,0.0836145198378852,0.015731506868302,0.0112643750561077,0.0013045499341906,1.4240006242195884,4.728753653037035,0.1393596033208886,0.0075245479234647,0.0005856356913784,0.0197470939274538,0.0987028442546671,0.1325066162662061,0.0020763414310819,0.4426979584476541,0.4271803941878384,1.2692955176439846,0.7817359599705717,1.2692955176439846,0.7264831572567789
anneal,3.4444444444444446,0.9690196078431372,0.9702007905684712,0.9925925925925926,0.9955997299359108,18.88888888888889,32.666666666666664,1.7254309521079387,0.7117069513148642,0.997909140971098,0.0990836318833197,2.3879417843288846,0.0417476157777777,0.0077308574444444,1.8747253124570804,1.8642114024136491,3.6666666666666665,1.0,3.6666666666666665,0.5555555555555556,C2,C2,C2,no_discretization,exact_M-of-N,1.0137937550497031,0.0834853860779317,0.0306748420477054,0.011111111111111,0.0066393142763674,1.0540925533894598,3.4278273002005224,0.0969295354210422,0.0112950705676773,0.0035738785494543,0.0147316578907518,2.3089196823186406,0.0108004350277754,0.002432380181864,0.309447412490705,0.2842537554277068,4.358898943540674,0.7071067811865476,4.358898943540674,0.7264831572567789
anneal,0.0,0.9841176470588232,0.9700845487855628,0.9938271604938272,0.9980749774606632,36.888888888888886,73.22222222222223,1.9831190075092515,0.6330263121411028,0.9996173169713763,0.108128436012273,0.0765891825555555,0.1569662422222222,0.0121175285555555,3.9902166360022897,3.943071161048688,1.1111111111111112,1.1111111111111112,0.4444444444444444,0.4444444444444444,C2,C2,C2,no_discretization,plain,0.0,0.0210309542832056,0.0046898292010722,0.0058560697410525,0.0012548001326121,2.204792759220492,6.119186583561939,0.0669195737696446,0.0060109291381255,0.0004904847715022,0.0086751851018852,0.0105565698981772,0.0101025313468869,0.0013916769486225,0.4115109466006366,0.541634236303166,1.3642254619787415,1.0540925533894598,0.7264831572567789,0.7264831572567789
auto-mpg,5.0,0.7104232804232804,0.9510017926488974,0.8108262108262109,0.9692867109651786,59.11111111111112,188.33333333333331,3.186116099699032,0.6044624916794189,0.9901684813959132,0.1072479128370685,1689345127.683533,1.3481355528888888,0.0202149562222221,6.3382404050149646,6.472934472934472,21.88888888888889,9.0,11.444444444444445,4.555555555555555,C2,C2,C2,no_discretization,at_least_M-of-N,3.8078865529319534,0.0797416265781069,0.0256746725034323,0.0582976120238392,0.0149665448958099,3.5512126254437524,24.34132288927617,0.359084872361959,0.0102260715481506,0.0059367696616912,0.0129916212237619,21.793284585942175,1.0330413870175943,0.0018057557987627,0.8392549906581138,1.3204347818060314,11.623730516108465,2.23606797749979,8.017342313870463,1.810463415200036
auto-mpg,0.0,0.6775132275132275,0.8971245166472084,0.7941595441595442,0.9419744825356317,32.666666666666664,88.88888888888889,2.719576442024996,0.6112465674936409,0.9810221893544754,0.1299183725392377,3.586675246777778,6.822375458888889,0.0100081837777777,4.217878824031856,4.329700854700856,32.55555555555556,7.777777777777778,13.77777777777778,3.7777777777777777,C2,C2,C2,no_discretization,complex,0.0,0.0658223653042827,0.0231166217485694,0.0549849477008479,0.0139678745823111,3.1224989991992,10.856385729657504,0.181170602794888,0.0136464556328448,0.0056002777496283,0.0181024976364313,0.9089194442139888,1.1199887289687032,0.0018968870384014,0.4997649894790061,0.8145133856427346,10.333333333333334,2.6352313834736494,7.726217990999506,1.7159383568311668
auto-mpg,9.11111111111111,0.6929100529100528,0.8929257127124889,0.7968660968660968,0.9357740741317092,58.888888888888886,168.0,2.856902033477858,0.5983457188045688,0.9859677001207796,0.1145722939793678,1.8581336074405248,0.6662558373333334,0.0210705174444444,6.72196891496311,6.921509971509972,49.77777777777778,10.555555555555555,25.0,5.444444444444445,C2,C2,C2,no_discretization,exact_M-of-N,3.689323936863109,0.0610790603439251,0.0368847254414382,0.0573542843608564,0.0209031990095991,3.7896056669673577,9.643650760992957,0.1358356782642037,0.0045015964947943,0.0084231666510514,0.0175585522979175,0.579038759735948,0.4146236553049276,0.0042601911055977,0.8904188407113928,1.342789030004344,22.725414065412416,2.006932429798716,16.72572868367773,2.4037008503093262
auto-mpg,0.0,0.6854232804232804,0.8648576127547176,0.8050569800569801,0.919950583471226,64.44444444444444,187.22222222222223,2.904997770905129,0.5807280156284649,0.9803703745459073,0.1161898096406144,0.0807287662222222,0.1957406019999999,0.0174915802222222,7.496074169748716,7.577991452991453,63.66666666666666,10.0,30.88888888888889,5.222222222222222,C2,C2,C2,no_discretization,plain,0.0,0.0694222980559714,0.036665574084096,0.0388355803029273,0.0187367491919346,1.810463415200036,9.39118972465387,0.1184850221264391,0.0061734991295955,0.0035857194373449,0.0112629951755146,0.0063511334479518,0.012097877939778,0.0013233213666692,0.8343546364905042,1.5634485615150937,22.754120505965503,2.0,17.366954572149695,2.438123139721299
autos,3.2222222222222223,0.7193386243386244,0.9782428936123092,0.7298941798941799,0.9759009009009008,43.888888888888886,90.0,2.051389468456371,0.6284388281829743,0.9952174425166846,0.0526359648241242,1689441359.6740484,0.280900142111111,0.0176031985555555,2.304416372894634,2.1500000000000004,5.555555555555555,3.555555555555556,5.111111111111111,3.0,C2,C2,C2,no_discretization,at_least_M-of-N,1.3944333775567928,0.0856347367489971,0.0150210956866101,0.1089276679061611,0.0156297005947896,2.3687784005919825,8.381527307120106,0.1672548955113174,0.0115398491929609,0.0059976635810049,0.0058613975715023,9.815743023543591,0.1095701159665002,0.0058259529611456,0.2259216579146833,0.1714616370227508,6.24722160466377,1.509230856356236,5.600099205470481,1.8027756377319943
autos,0.0,0.7390388007054675,0.9779924132205484,0.7621693121693123,0.9783228881054968,33.22222222222222,68.11111111111111,2.046524349352957,0.6628782472775223,0.9940400300497192,0.0661695753485019,1.063238917222222,3.268253093555556,0.0043220057777777,2.19936675806241,2.050793650793651,4.0,3.7777777777777777,3.888888888888889,3.2222222222222223,C2,C2,C2,no_discretization,complex,0.0,0.081922183113683,0.0097076598932431,0.0985470153547217,0.0076264040799967,2.5873624493766707,7.865183475997946,0.1028370208014674,0.0128963759756681,0.0033802369953327,0.0054086277100718,0.1988265836146114,0.577208668212976,0.0008774366843399,0.2577068179427222,0.1851640199545102,2.549509756796392,1.3944333775567928,2.4720661623652207,1.301708279317776
